case_id,entity_type,entity_id,relation
FIR-0311/2026,vehicle,MH-02-AB-7484,SEEN_NEAR_SCENE
FIR-0450/2026,person,P118,NAMED_ACCUSED
FIR-0450/2026,person,P014,CITED
FIR-0450/2026,person,P023,NAMED_ACCUSED
FIR-0450/2026,person,P037,CITED
FIR-0450/2026,person,P089,CITED
FIR-0450/2026,person,P074,CITED
FIR-0450/2026,person,P023,CITED
FIR-0450/2026,vehicle,MH-12-XY-4115,SEEN_NEAR_SCENE
FIR-0450/2026,vehicle,DL-01-ZK-1919,SEEN_NEAR_SCENE
FIR-0450/2026,vehicle,DL-08-CD-3950,SEEN_NEAR_SCENE
FIR-0450/2026,vehicle,MH-02-AB-7484,SEEN_NEAR_SCENE
FIR-0512/2026,person,P048,CITED
FIR-0512/2026,person,P105,NAMED_ACCUSED
FIR-0512/2026,person,P055,CITED
FIR-0512/2026,person,P009,NAMED_ACCUSED
FIR-0512/2026,person,P018,NAMED_ACCUSED
FIR-0512/2026,person,P111,NAMED_ACCUSED
FIR-0512/2026,person,P068,CITED
FIR-0512/2026,vehicle,DL-01-CD-5901,SEEN_NEAR_SCENE
FIR-0512/2026,vehicle,MH-02-DE-7141,SEEN_NEAR_SCENE
FIR-0620/2026,person,P074,CITED
FIR-0620/2026,person,P081,CITED
FIR-0620/2026,person,P012,CITED
FIR-0620/2026,person,P089,CITED
FIR-0620/2026,person,P101,CITED
FIR-0620/2026,vehicle,KA-01-CD-6977,SEEN_NEAR_SCENE
FIR-0620/2026,vehicle,MH-02-AB-1803,SEEN_NEAR_SCENE
FIR-0620/2026,vehicle,MH-12-HA-8916,SEEN_NEAR_SCENE
FIR-0715/2026,person,P119,NAMED_ACCUSED
FIR-0715/2026,person,P073,CITED
FIR-0715/2026,person,P094,CITED
FIR-0715/2026,person,P064,CITED
FIR-0715/2026,person,P114,CITED
FIR-0715/2026,person,P091,NAMED_ACCUSED
FIR-0715/2026,person,P025,NAMED_ACCUSED
FIR-0715/2026,vehicle,DL-01-XY-7807,SEEN_NEAR_SCENE
FIR-0715/2026,vehicle,DL-08-CD-4945,SEEN_NEAR_SCENE
FIR-0890/2026,person,P103,CITED
FIR-0890/2026,person,P054,CITED
FIR-0890/2026,person,P043,CITED
FIR-0890/2026,person,P104,CITED
FIR-0890/2026,person,P002,CITED
FIR-0890/2026,person,P089,NAMED_ACCUSED
FIR-0890/2026,vehicle,MH-02-AB-7484,SEEN_NEAR_SCENE
FIR-0890/2026,vehicle,MH-02-AB-7484,SEEN_NEAR_SCENE
FIR-0910/2026,person,P099,NAMED_ACCUSED
FIR-0910/2026,person,P088,CITED
FIR-0910/2026,person,P051,CITED
FIR-0910/2026,person,P079,CITED
FIR-0910/2026,person,P107,NAMED_ACCUSED
FIR-0910/2026,person,P043,CITED
FIR-0910/2026,person,P119,CITED
FIR-0910/2026,vehicle,DL-01-ZK-1919,SEEN_NEAR_SCENE
FIR-0910/2026,vehicle,TS-09-CD-3344,SEEN_NEAR_SCENE
FIR-0910/2026,vehicle,KA-05-MJ-3165,SEEN_NEAR_SCENE
FIR-1002/2026,person,P081,CITED
FIR-1002/2026,person,P111,CITED
FIR-1002/2026,person,P043,CITED
FIR-1002/2026,person,P105,CITED
FIR-1002/2026,person,P096,NAMED_ACCUSED
FIR-1002/2026,person,P067,NAMED_ACCUSED
FIR-1002/2026,vehicle,MH-02-AB-1803,SEEN_NEAR_SCENE
FIR-1002/2026,vehicle,KA-01-MJ-4040,SEEN_NEAR_SCENE
FIR-1002/2026,vehicle,MH-02-XY-6549,SEEN_NEAR_SCENE
FIR-1002/2026,vehicle,MH-02-AB-1753,SEEN_NEAR_SCENE
