src_account,dst_account,amount,txn_date,record_id
AC-MULE-201,AC017,943512,2026-03-15,TXN-0252
AC034,AC-CORP-301,569054,2026-03-13,TXN-0253
AC039,AC-MULE-203,184823,2026-05-27,TXN-0254
AC065,AC-CORP-301,17616,2026-03-21,TXN-0255
AC015,AC024,5480,2026-05-18,TXN-0256
AC030,AC057,756379,2026-01-07,TXN-0257
AC012,AC022,26739,2026-01-15,TXN-0258
AC-OFFSHORE-501,AC025,200722,2026-03-18,TXN-0259
AC055,AC052,31505,2026-04-21,TXN-0260
AC052,AC018,9144,2026-05-01,TXN-0261
AC012,AC048,615989,2026-05-04,TXN-0262
AC014,AC039,223204,2026-04-13,TXN-0263
AC023,AC031,609307,2026-02-24,TXN-0264
AC021,AC041,41275,2026-03-01,TXN-0265
AC-CORP-301,AC-CORE-101,30826,2026-05-20,TXN-0266
AC042,AC029,32043,2026-03-07,TXN-0267
AC023,AC026,21563,2026-02-20,TXN-0268
AC-OFFSHORE-501,AC062,226078,2026-05-03,TXN-0269
AC015,AC028,434443,2026-05-16,TXN-0270
AC033,AC015,100724,2026-03-20,TXN-0271
AC060,AC045,25032,2026-05-22,TXN-0272
AC049,AC043,5316,2026-04-06,TXN-0273
AC058,AC038,175817,2026-03-05,TXN-0274
AC048,AC042,12132,2026-04-18,TXN-0275
AC038,AC020,380176,2026-05-07,TXN-0276
AC012,AC-MULE-202,202539,2026-05-21,TXN-0277
AC030,AC-MULE-204,795036,2026-05-09,TXN-0278
AC022,AC049,43640,2026-04-08,TXN-0279
AC062,AC067,31003,2026-05-03,TXN-0280
AC033,AC024,487847,2026-05-05,TXN-0281
AC021,AC064,19340,2026-03-02,TXN-0282
AC011,AC036,516818,2026-03-08,TXN-0283
AC049,AC052,8043,2026-04-15,TXN-0284
AC038,AC036,694956,2026-05-18,TXN-0285
AC051,AC049,185440,2026-05-21,TXN-0286
AC031,AC054,805529,2026-03-27,TXN-0287
AC-CORE-101,AC067,380832,2026-02-15,TXN-0288
AC038,AC030,931264,2026-02-06,TXN-0289
AC018,AC032,238810,2026-04-26,TXN-0290
AC029,AC023,434097,2026-04-01,TXN-0291
AC023,AC020,42504,2026-05-02,TXN-0292
AC036,AC026,319524,2026-05-13,TXN-0293
AC039,AC013,44749,2026-02-15,TXN-0294
AC031,AC055,97679,2026-05-05,TXN-0295
AC024,AC046,68046,2026-04-20,TXN-0296
AC052,AC019,828859,2026-01-01,TXN-0297
AC056,AC022,944610,2026-05-04,TXN-0298
AC-MULE-204,AC067,436659,2026-01-03,TXN-0299
AC-CORE-101,AC058,61387,2026-05-14,TXN-0300
AC032,AC064,43603,2026-04-12,TXN-0301
AC057,AC020,597026,2026-03-16,TXN-0302
AC055,AC035,5466,2026-02-01,TXN-0303
AC-CORE-101,AC051,25702,2026-02-23,TXN-0304
AC022,AC057,744136,2026-05-09,TXN-0305
AC049,AC038,878923,2026-04-25,TXN-0306
AC064,AC025,176814,2026-03-18,TXN-0307
AC047,AC053,246035,2026-02-28,TXN-0308
AC023,AC015,877321,2026-02-17,TXN-0309
AC-OFFSHORE-501,AC023,73878,2026-04-21,TXN-0310
AC058,AC014,383927,2026-01-09,TXN-0311
AC-MULE-204,AC052,39144,2026-04-20,TXN-0312
AC025,AC066,222198,2026-04-01,TXN-0313
AC027,AC-MULE-204,542924,2026-05-17,TXN-0314
AC024,AC-MULE-204,91273,2026-03-08,TXN-0315
AC054,AC048,43409,2026-04-13,TXN-0316
AC011,AC014,202812,2026-05-10,TXN-0317
AC038,AC031,34803,2026-05-07,TXN-0318
AC036,AC025,375902,2026-04-17,TXN-0319
AC040,AC046,864032,2026-01-26,TXN-0320
AC035,AC059,113772,2026-04-19,TXN-0321
AC061,AC-MULE-203,701261,2026-04-04,TXN-0322
AC031,AC032,28140,2026-03-14,TXN-0323
AC036,AC034,31144,2026-03-03,TXN-0324
AC025,AC063,19323,2026-03-12,TXN-0325
AC027,AC066,20863,2026-02-08,TXN-0326
AC028,AC034,15223,2026-05-12,TXN-0327
AC066,AC-CORE-101,147306,2026-05-02,TXN-0328
AC038,AC065,38497,2026-02-25,TXN-0329
AC019,AC-OFFSHORE-501,32733,2026-05-26,TXN-0330
AC067,AC047,426215,2026-04-28,TXN-0331
AC061,AC043,18811,2026-01-01,TXN-0332
AC044,AC049,99060,2026-05-28,TXN-0333
AC033,AC037,145924,2026-04-20,TXN-0334
AC057,AC029,145703,2026-04-23,TXN-0335
AC060,AC026,42741,2026-05-05,TXN-0336
AC037,AC033,452928,2026-05-14,TXN-0337
AC022,AC063,441003,2026-01-06,TXN-0338
AC043,AC065,198854,2026-03-09,TXN-0339
AC015,AC023,174921,2026-01-07,TXN-0340
AC045,AC036,196143,2026-03-12,TXN-0341
AC-MULE-202,AC055,904875,2026-01-12,TXN-0342
AC025,AC039,38452,2026-03-11,TXN-0343
AC051,AC039,93928,2026-04-21,TXN-0344
AC054,AC012,109825,2026-01-06,TXN-0345
AC040,AC037,121106,2026-05-21,TXN-0346
AC060,AC055,546024,2026-02-06,TXN-0347
AC035,AC013,31020,2026-02-06,TXN-0348
AC063,AC-OFFSHORE-501,31018,2026-01-25,TXN-0349
AC036,AC022,30548,2026-01-21,TXN-0350
AC039,AC059,39520,2026-02-05,TXN-0351
AC048,AC044,121411,2026-04-15,TXN-0352
AC020,AC025,215425,2026-05-20,TXN-0353
AC042,AC047,73476,2026-04-18,TXN-0354
AC049,AC055,300096,2026-03-05,TXN-0355
AC020,AC047,52180,2026-03-16,TXN-0356
AC041,AC-MULE-201,24196,2026-04-26,TXN-0357
AC050,AC027,33646,2026-04-18,TXN-0358
AC052,AC051,551198,2026-02-09,TXN-0359
AC037,AC039,22617,2026-05-26,TXN-0360
AC026,AC020,211934,2026-03-04,TXN-0361
AC065,AC027,14971,2026-03-01,TXN-0362
AC026,AC016,759713,2026-03-09,TXN-0363
AC-MULE-201,AC032,179388,2026-01-05,TXN-0364
AC056,AC042,232697,2026-04-12,TXN-0365
AC013,AC021,68713,2026-01-09,TXN-0366
AC026,AC027,427885,2026-03-27,TXN-0367
AC034,AC052,783220,2026-04-08,TXN-0368
AC015,AC029,466316,2026-04-13,TXN-0369
AC-CORP-301,AC018,24583,2026-03-16,TXN-0370
AC030,AC017,33453,2026-02-21,TXN-0371
AC038,AC018,344033,2026-04-26,TXN-0372
AC063,AC022,115201,2026-03-25,TXN-0373
AC014,AC046,461395,2026-01-02,TXN-0374
AC016,AC019,196368,2026-04-08,TXN-0375
AC027,AC-MULE-202,115718,2026-04-12,TXN-0376
AC059,AC040,37118,2026-05-23,TXN-0377
AC047,AC044,44235,2026-04-09,TXN-0378
AC022,AC060,191978,2026-03-27,TXN-0379
AC-CORE-101,AC067,54907,2026-04-24,TXN-0380
AC033,AC044,499092,2026-01-22,TXN-0381
AC066,AC022,26141,2026-05-10,TXN-0382
AC015,AC011,13504,2026-01-27,TXN-0383
AC016,AC065,707475,2026-02-04,TXN-0384
AC065,AC035,19465,2026-01-12,TXN-0385
AC029,AC065,885126,2026-01-15,TXN-0386
AC056,AC050,342627,2026-01-27,TXN-0387
AC012,AC041,406142,2026-01-07,TXN-0388
AC032,AC052,560846,2026-02-07,TXN-0389
AC025,AC056,781003,2026-01-25,TXN-0390
AC057,AC016,721063,2026-02-26,TXN-0391
AC046,AC023,630463,2026-05-20,TXN-0392
AC044,AC050,639162,2026-04-25,TXN-0393
AC033,AC030,245186,2026-04-25,TXN-0394
AC053,AC-CORE-101,44043,2026-01-10,TXN-0395
AC041,AC-CORE-101,322755,2026-03-08,TXN-0396
AC038,AC022,35170,2026-01-02,TXN-0397
AC036,AC049,20269,2026-05-08,TXN-0398
AC054,AC030,176493,2026-01-24,TXN-0399
AC015,AC041,42767,2026-01-24,TXN-0400
AC045,AC047,12899,2026-04-14,TXN-0401
AC051,AC-OFFSHORE-501,866157,2026-03-17,TXN-0402
AC022,AC044,352973,2026-05-23,TXN-0403
AC053,AC060,73614,2026-05-19,TXN-0404
AC040,AC053,798969,2026-02-05,TXN-0405
AC-OFFSHORE-501,AC054,755596,2026-03-03,TXN-0406
AC019,AC020,714521,2026-04-18,TXN-0407
AC028,AC034,639121,2026-02-03,TXN-0408
AC014,AC017,141306,2026-04-14,TXN-0409
AC047,AC-MULE-203,763690,2026-03-06,TXN-0410
AC021,AC059,20301,2026-01-27,TXN-0411
AC013,AC017,125414,2026-01-08,TXN-0412
AC017,AC042,519162,2026-04-16,TXN-0413
AC030,AC029,806489,2026-05-17,TXN-0414
AC021,AC-MULE-202,39524,2026-04-19,TXN-0415
AC010,AC039,787546,2026-02-26,TXN-0416
AC-MULE-201,AC011,22780,2026-04-22,TXN-0417
AC-MULE-202,AC040,183310,2026-04-08,TXN-0418
AC065,AC014,887923,2026-02-07,TXN-0419
AC-MULE-202,AC-CORP-301,137443,2026-02-17,TXN-0420
AC023,AC-MULE-202,28062,2026-03-22,TXN-0421
AC067,AC038,330897,2026-01-21,TXN-0422
AC038,AC031,30745,2026-02-11,TXN-0423
AC051,AC032,90042,2026-04-08,TXN-0424
AC045,AC060,445308,2026-05-05,TXN-0425
AC028,AC020,39328,2026-03-23,TXN-0426
AC023,AC043,39928,2026-01-18,TXN-0427
AC043,AC021,158538,2026-01-25,TXN-0428
AC059,AC038,17316,2026-02-25,TXN-0429
AC-MULE-203,AC037,20133,2026-05-19,TXN-0430
AC-MULE-203,AC048,826725,2026-01-23,TXN-0431
AC063,AC050,30392,2026-02-28,TXN-0432
AC023,AC027,53935,2026-02-02,TXN-0433
AC031,AC028,165155,2026-02-03,TXN-0434
AC044,AC061,937460,2026-02-14,TXN-0435
AC051,AC043,862203,2026-04-20,TXN-0436
AC-MULE-204,AC016,843899,2026-04-15,TXN-0437
AC053,AC-CORP-301,38824,2026-05-13,TXN-0438
AC040,AC059,170939,2026-04-10,TXN-0439
AC040,AC-OFFSHORE-501,35381,2026-05-05,TXN-0440
AC067,AC017,43367,2026-02-25,TXN-0441
AC053,AC055,775718,2026-03-15,TXN-0442
AC028,AC061,471960,2026-01-09,TXN-0443
AC018,AC014,34451,2026-01-23,TXN-0444
